Root,Meaning in English,Origin language,Etymology (root origin),English examples
"cac-, kak-",bad,Greek,"κακός (kakós), κάκιστος (kákistos)","cachexia, cacistocracy, cacodemon, cacoepy, cacography, cacophobia, cacophobe, cacophobic, cacophonous, cacophony, cacorrhacitis, kakistocracy, kakistocrat"
"cad-, -cid-, cas-",fall,Latin,"cadere, casus","accidence, accident, accidental, cadaver, cadaverine, cadaverous, cadence, cadency, cadent, cadential, cadenza, caducity, caducous, cascade, case, casual, casualty, casuistry, chance, cheat, chute, coincide, coincidence, coincident, coincidental, decadence, decadent, decay, decidua, decidual, deciduate, deciduation, deciduous, demicadence, escheat, escheatable, escheatage, escheatment, escheator, incidence, incident, incidental, nonaccidental, nondeciduous, nonincidental, parachute, postaccident, procidentia, recidivous, semelincident"
"caed-, -cid-, caes-, -cis-","cut, kill",Latin,"caedere, caesus","caespitose, caesura, cement, cementation, cementitious, cementum, cespitose, chisel, circumcise, circumcision, concise, concision, decidability, decidable, decide, decision, decisive, deciso, excide, excise, excision, excisional, fungicide germicide, genocide, herbicide homicide, imprecise, imprecision, incise, incision, incisive, incisor, incisory, incisure, indecision, indecisive, occision, pesticide, précis, precise, precision, scissors, semidecidable, succise, succision, suicide"
"cal-, call-",beautiful,Greek,"καλός (kalós) ""beautiful""; κάλλος (kállos) ""beauty"", κάλλιστος (kállistos)","calisthenics, calligraphy, Callista, Callisto, calophyllous, kaleidoscope"
cal-,call,Latin,calare,"calendar, claim, class, conciliate, conciliatory, council, intercalate, nomenclature"
cal-,heat,Latin,"calere, calor ""heat""","caldarium, caldera, calefacient, calefaction, calefactive, calefactory, calenture, calescent, calid, calor, calore, caloric, calorie, calorifacient, calorific, calorigenic, calorimeter, caudle, cauldron, chafe, chafery, chalder, chaldron, chaud-froid, chauffer, chauffeur, chauffeuse, decalescence, decalescent, nonchalance, nonchalant, recalescence, scald"
calc-,"calcium, stone",Latin and Greek,"from Latin calx (genitive calcis) ""lime"", from Greek χάλιξ (khálix) ""pebble"", ""limestone""","calcite, calcitrant, calcium, calculate, calculus, chalicothere, chalk, recalcitrant"
"calv-, calum-","trick, lie, deceive",Latin,"calumnia ""slander, trickery"", from calvi ""to trick, deceive""","calumnious, calumny, cavil, challenge"
calyp-,cover,Greek,"καλύπτειν (kalúptein), καλυπτός (kaluptós), κάλυξ, κάλυκος (kálux, kálukos)","apocalypse, apocalyptic, apocalypticism, calyce, calyptra, Calyptrogyne, calyx, epicalyx, eucalypt, eucalyptus"
cameria-,vault,Latin,camera,"antechamber, bicameral, camaraderie, camber, camera, chamber, chamberlain, comrade, concamerate, concameration, multicamera, tricameral, unicameral"
camiso-,shirt,Latin,camisia,"camisade, camisado, Camisard, camisole, chemise"
camp-,field,Latin,"campus ""field"", ""level ground""","camp, campaign, campesino, campestral, campicolous, campimetry, campo, campsite, campus, champertous, champerty, champignon, champion, decamp, decampment, encamp, encampment"
can-,dog,Latin,canis,"canaille, canary, canicular, canicule, canid, canine, Canis, Canis Major, postcanine"
can-,"reed, rod",Greek,"κάννα (kánna), κανών (kanṓn)","cane, canister, canon, canonic"
"can-, -cin-, cant-, -cent-",sing,Latin,"canere, cantus","accent, accentual, accentuate, accentuation, canción, canorous, cant, cantabile, cantata, cantation, cantatory, cantatrice, canticle, canticum, cantiga, cantilena, cantillate, cantillation, cantion, canto, cantor, cantus, canzona, canzone, Carmen, chanson, chansonnier, chant, chanteur, chanteuse, chanticleer, charm, concent, descant, discant, discantus, disenchant, disenchantment, disencharm, disincentive, enchant, enchantment, enchantress, incantation, incantational, incentive, plainchant, precentor, recant, recantation, succentor, vaticinate, vaticination, vaticinator"
"cand-, cend-","glowing, iridescent",Latin,"candere ""to be white or glisten""","candela, candid, candidate, candle, candor, incandescent, incendiary, incense"
"cap-, -cip-, capt-, -cept-","hold, take",Latin,"capere, captus ""take or hold"" (vowel changes from a to i in compounds)","capable, capacious, captive, caption, captivate, capture, conception, except, forceps, incipient, intercept, recipient"
"capit-, -cipit-",head,Latin,"caput, capitis","achievable, achieve, achievement, ancipital, ancipitous, biceps, bicipital, cabotage, cad, caddie, cadet, cape, capital, capitular, capitulate, capitulation, captain, chapter, chaptrel, chattel, chef, chief, chieftain, co-captain, co-captaincy, decapitate, decapitation, occipital, occiput, precipitation, precipitous, quadriceps, recap, recapitulate, sincipital, sinciput, sous-chef, subcaptain, triceps, tricipital, unicipital, vice-captain, vice-captaincy"
