Root,Meaning in English,Origin language,Etymology (root origin),English examples
pac-,peace,Latin,"pax, pacis","appease, Pacific, pacify, pay"
pach-,thick,Greek,"παχύς (pakhús), πάχος, πάχεος (pákhos, pákheos)","pachydermata, pachyglossia, pachynsis, Pachypodium"
pact-,fasten,Latin,"pangere ""to fix, fasten""","compact, impact, impaction, impinge, page, propagate"
pact-,agreement,Latin,"pacisci ""to covenant, to agree, make a treaty""",pact
pae-,strike,Greek,"παίειν (paíein), (paistos)","anapaest, anapaestic, anapest, anapestic"
"paed-, ped-",child,Greek,"παῖς, παιδός (paîs, paidós), παιδικός (paidikós)","orthopedic, paediatric, paedogenesis, paedomorphism, page, pedagogue, pedagogy, pedant, pedantic, pediatric, pedodontics, pedophilia"
pagin-,page,Latin,pagina,pagination
pal-,stake,Latin,palus,"impale, impalement, pale, palisade, pole, travail, travel"
"palae-, pale-","ancient, old",Greek,παλαιός (palaiós),"paleo diet, paleobiology, paleobotanic, Paleocene, Paleogene, Paleolithic, paleology, paleomagnetism, paleontology, paleopolyploidy, paleopsychology, Paleozoic"
"palin-, palim-",back,Greek,πάλιν (pálin),"palimpsest, palindrome, palingenesis, palinspastic"
pall-,be pale,Latin,pallere,"pallid, pallor"
palli-,cloak,Latin,"palliare ""to cover, cloak"", from pallium ""cloak""","pall, palliate, palliative, pallium"
palm-,palm,Latin,palma,palmate
palp-,touch,Latin,palpare,"palp, palpable, palpate, palpation, palpitant, palpitation"
palustr-,in marshes,Latin,paluster,palustral
pan-,Pan,Greek,"πάειν, Πάν (Pán), Πανικός (Panikós)",panic
"pan-, pam-",all,Greek,"πᾶς, παντός (pantós), πᾶν (pân), πασῶν, παντότης, πάντοθεν","diapason, panacea, pandemic, pandemonium, panoply, panoptic, pantology, parrhesia"
pan-,bread,Latin,pānis,"accompaniment, accompany, appanage, companion, company, empanada, impanate, impanation, panelle, panetela, panetella, panettone, panivorous, pannier, pantry"
"pand-, pans-",spread,Latin,"pandere, pansus/passus","compass, dispand, dispansion, encompass, encompassment, expand, expanse, expansion, expansive, expansivity, impassable, impasse, pace, pandiculate, pandiculation, passus, repand, spawn, subrepand"
"par-, para-","beside, near",Greek,παρά (pará),"parable, parabola, parallel, parallelepiped, parameter, parapagus, paradox, parody"
par-,equal,Latin,par,"compare, disparage, par, parity, peer, subpar"
par-,"order, prepare, provide, procure",Latin,parare,"apparat, apparatus, co-emperor, comprador, disparate, disrepair, dissever, disseverance, emperor, empery, empire, empress, imperant, imperative, imperator, imperious, inseparable, irreparable, parade, pare, parison, parry, parure, preparation, preparative, preparatory, prepare, repair, reparable, reparation, reparative, separability, separable, separate, separation, separative, separator, separatory, separatrix, sever, severability, severable, several, severance, vituperate"
