Root,Meaning in English,Origin language,Etymology (root origin),English examples
sacc-,bag,Greek,σάκκος (sákkos),sack
sacchar-,sugar,Greek,"σάκχαρ, σάκχαρον (sákkharon)","disaccharide, heteropolysaccharide, homopolysaccharide, lipooligosaccharide, lipopolysaccharide, monosaccharide, oligosaccharide, pentasaccharide, polysaccharide, saccharin, trisaccharide"
"sacr-, -secr-",sacred,Latin,"sacrare, from sacer (genitive sacri)","consecrate,  desecrate, sacrament, sacred, sacrosanct"
sagac-,wise,Latin,"sagax, sagacis","sagacious, sagacity"
sagitt-,arrow,Latin,sagitta,"sagittal plane, Sagittaria"
sal-,salt,Latin,"sal, salis, salere, salarium","salary, salinity"
"sali-, -sili-, salt-",jump,Latin,"salire, saltus","assail, assailable, assailant, assailment, assault, assaultive, consilience, desultory, dissilience, dissilient, exult, exultant, exultation, insult, insultation, irresilient, resile, resilement, resilience, resiliency, resilient, result, resultant, salacious, salacity, salience, salient, sally, saltando, saltant, saltation, saltatorial, saltatory, saltigrade, saltire, salto, saltus, sault, sauté, sauteuse, sautille, sautoir, somersault, soubresaut, subsultory, transilience, transilient"
salic-,willow,Latin,"salix, salicis",salicin
salping-,trumpet,Greek,"σάλπιγξ, σάλπιγγος (sálpinx, sálpingos)","endosalpingiosis, hysterosalpingography, salpiglossis, salpinx"
salu-,"health, welfare",Latin,salus,"salubrious, salubrity, salutary, salute"
salv-,save,Latin,"salvus, salvare","salvage, salvation, salve"
san-,healthy,Latin,sanus,"insane, insanity, sanatorium, sane, sanitarian, sanitarium, sanitary, sanitation, sanity"
sanc-,holy,Latin,sancire (past participle sanctus),"sacrosanct, saint, sanctify, sanction, sanctuary"
sanguin-,blood,Latin,"sanguis, sanguinis","consanguinity, sanguinary, sanguine"
"sapi-, -sipi-","taste, wise",Latin,"sapere ""to have a taste, be wise"", related to sapor ""taste, flavor""","insipid, insipience, sapient"
sapon-,soap,Latin from Frankish,"sapo, saponis",saponification
sapphir-,a precious stone,Greek from Hebrew,σάπφειρος (sáppheiros),"sapphire, sapphirine"
sapr-,rotten,Greek,"σήπειν, σαπρός (saprós), σαπρότης","sapraemia, saprogenic, saprophagous, saprophyte, saprotrophic"
sarc-,flesh,Greek,"σάρξ, σαρκός (sárx, sarkós)","perisarc, sarcasm, sarcastic, sarcocele, sarcoid, sarcoidosis, sarcoma, sarcophagus, Sarcopterygii, sarcosine, sarcosinemia, sarcosome"
sarc-,tailor,Latin,"sartor ""tailor"", from sarcire ""to mend""","consarcination, sartor, sartorial, sartorius"
sati-,enough,Latin,satis,"asset, sate, satiate, satiety, satisfy, saturate"
saur-,"lizard, reptile",Greek,"σαύρα (saúra), σαῦρος (saûros)","dinosaur, Saurischia, sauropod"
sax-,rock,Latin,saxum,"saxatile, saxicavous, saxicoline, saxifrage, saxifragous"
scab-,scratch,Latin,scabere,scabies
scal-,"ladder, stairs",Latin,scala,"scalar, scale"
scalen-,uneven,Greek,σκαληνός (skalēnós),"scalene, scalene muscles, scalene triangle, scalenohedron"
"scand-, -scend-, scans-, -scens-",climb,Latin,scandere,"ascend, ascendency, ascendent, ascension, ascent, condescend, condescendence, condescension, descend, descendent, descension, descent, scansion, transcend, transcendence, transcendent, transcendental"
scandal-,snare,Greek,"σκάνδαλον (skándalon), σκανδαλίζω (skandalízō)","scandal, scandalize"
scap-,shaft,Greek,σκᾶπος (skâpos),"scape, scapus"
scaph-,"anything hollow, bowl, ship",Greek,"σκάφη, σκάφος","Scaphirhynchus, scaphoid bone, scaphopod"
scat-,dung,Greek,"σκῶρ, σκατός (skôr, skatós)","scatemia, scatology, scatoma, scatomancy, scatophagy, scatoscopy"
sced-,scatter,Greek,"σκεδαννύναι (skedannúnai), σκέδασις (skédasis), (skedastós), (skedastikós)","heteroscedastic, homoscedastic"
scel-,"leg, thigh",Greek,"σκέλος, σκέλεος (skéleos)","isosceles, triskele, triskelion"
scen-,"booth, tent",Greek,σκηνή (skēnḗ),"parascenium, proscenium, scene, scenic, scenography"
"scept-, scop-","look at, examine, view, observe",Greek,"σκέπτεσθαι (sképtesthai), σκέψις (sképsis), σκέμμα, σκεπτικός (skeptikós), σκοπεῖν (skopeîn), σκοπός, σκοποῦ (skopós)","Abroscopus, diascopic, diascopy, endoscope, endoscopic, endoscopy, epidiascope, episcope, episcopic, gastroscopy, kaleidoscope, macroscopic, microscope, microscopic, panendoscopy, periscope, periscopic, scope, scopophobia, skeptic, stereoscopic, stereoscopy, stethoscope, telescope, telescopic, Telescopium"
schem-,plan,Greek,σχῆμα (skhêma),"schema, schematic, schematism, schematize, scheme"
schid- (ΣΧΙΔ),split,Greek,"σχίζειν (skhízein), σχιστός (skhistós), σχίσις (skhísis), σχίσμα (skhísma), σχίζα","diaschisis, diaschisma, schisis, schism, schisma, schismatic, schizocarp, schizogamy, schizogony, schizoid, schizophrenia, schizotrichia"
sci-,"shade, shadow",Greek,"σκιά (skiá), σκιάς","sciamachy, sciaphobia"
sci-,know,Latin,scire,"conscience, conscious, conscientious, omniscious, omniscient, prescient, science, scienter"
"scind-, sciss-",split,Latin,scindere,"rescind, scissors"
scler-,hard,Greek,"σκέλλειν (skéllein), σκληρός (sklērós), σκληρότης (sklērótēs)","sclera, sclerectomy, scleredema, sclereid, sclerema, sclerenchyma, sclerite, scleritis, scleroderma, sclerophyll, sclerophyllous, sclerosis, sclerotic, sclerotium, sclerotize"
scolec-,worm,Greek,"σκώληξ, σκώληκος (skṓlēx, skṓlēkos)",scolex
scoli-,crooked,Greek,"σκολιός (skoliós), σκολιότης","scoliokyphosis, scoliosis"
scombr-,mackerel,Greek,σκόμβρος (skómbros),"scombrid, scombroid"
scop-,,Greek,,
scot-,darkness,Greek,"σκότος, σκότου, σκοταῖος","scotobiology, scotochromogen, scotogenic, scotograph, scotoma, scotoperiod, scotophase, scotophilia, scotophilic, scotophobe, scotophobia, scotophobic, scotophobotaxis, scotopic, scotoscope, scotosis, scototactic, scototaxis, scototherapy"
"scrib-, script-",write,Latin,"scribere, scriptus","describe, inscribe, manuscript, prescribe, scribble, scribe, script, scripture, subscribe"
scrupl-,uneasiness,Latin,"scrupus ""sharp stone""","scruple, scrupulous, unscrupulous"
sculp-,carve,Latin,"sculpere, sculptus","insculp, resculpt, sculp, sculpsit, sculpt, sculptile, sculptor, sculptress, sculptural, sculpture"
scut-,shield,Latin,scutum,scute
scyph-,cup,Greek,σκύφος (skúphos),"scyphoid, Scyphozoa, scyphus"
"se-, sed-","away, apart",Latin,se,"secede, sedition, seditious, seduce"
seb-,tallow,Latin,sebum,"sebaceous, sebum"
"sec-, sect-, seg-",cut,Latin,secare,"secant, section, segment"
sed-,"settle, calm",Latin,"sedare, sedatus",sedative
"sed-, -sid-, sess-",sit,Latin,"sedere, sessus","assiduous, insidious, obsession, possess, preside, president, reside, resident, sedentary, sediment, sedimentary, sedulity, sedulous, session, subside, supersede"
sedec-,sixteen,Latin,sedecim,sedecimal
seget-,in cornfields,Latin,segetum,
sei-,shake,Greek,"σείειν (seíein),
 σεισμός (seismós), σεῖστρον (seîstron)","aseismic, microseism, microseismic, paleoseismology, seism, seismic, seismogram, seismograph, seismology, seismometer, seismonasty, sistrum, teleseism, teleseismic"
selen-,moon,Greek,σελήνη (selḗnē),"paraselene, selaphobia, Selene, selenium, selenocentric, selenography, selenology"
sell-,"saddle, seat",Latin,sella,sella turcica
sema-,sign,Greek,σῆμα (sêma),"aposematic, asemasia, asemia, asemic, pentaseme, polyseme, polysemic, polysemous, polysemy, semantics, semaphore, semasiology, sematic, seme, sememe, semiotic, tetraseme, triseme"
semi-,half,Latin,semis,"semiannual, semicolon, semiconductor, semiconscious, semifinal, seminatural"
semin-,seed,Latin,"semen, seminis",insemination
sen-,old man,Latin,"senex, senis","senator, senescent, senile, senility, senior"
sen-,six each,Latin,seni,senary
"sent-, sens-",feel,Latin,"sentire, sensus","assent, consensus, consent, dissent, resent, scent, sensation, sense, sensible, sensitive, sensory, sentence, sentient, sentience, sentiment"
sep-,rot,Greek,"σήψ (sḗps),
 σήπειν (sḗpein), σηπτός (sēptós), σηπτικός (sēptikós), σῆψις (sêpsis),
 σηπία (sēpía)","antisepsis, antiseptic, asepsis, aseptic, sepia, sepsis, septic"
sept-,"fence, partition, enclosure",Latin,saeptum,transept
sept-,seven,Latin,septem,septennial
septen-,seven each,Latin,septeni,septenary
septim-,seventh,Latin,septimus,"septimal, septime"
septuagen-,seventy each,Latin,septuageni,septuagenary
septuagesim-,seventieth,Latin,septuagesimus,"septuagesima, septuagesimal"
septuagint-,seventy,Latin,septuaginta,Septuagint
"sequ-, secut-",follow,Latin,"sequere, from sequi, see also secutus","consecutive, consequence, ensue, non sequitur, obsequious, prosecute, pursue, second, sequel, sequence, subsequent"
ser-,silk,Greek,"σήρ (sḗr), σηρικός","sericin, serigraph"
ser-,sow,Latin,"serere, satus","disseminate, dissemination, insemination, postseason, preseason, sation, sative, season, seasonable, seasonal, semen, semenuria, seminal, seminar, seminarian, seminary, semination, seminiferous"
ser-,"attach, join",Latin,"serere, sertus","assert, assertion, assertive, curviserial, desert, desertion, desertrix, dissert, dissertation, dissertator, exert, exertion, insert, insertion, multiseriate, reassert, reassertion, rectiserial, semidesert, serial, seriate, seriatim, series, sermon, uniseriate"
ser-,whey,Latin,serum,"serac, serosa, serous, subserous"
ser-,late,Latin,sērus,"serein, serotine, serotinous, serotiny, soiree"
