Root,Meaning in English,Origin language,Etymology (root origin),English examples
macer-,lean,Latin,macer,"emaciate, macerate, meager"
macr-,long,Greek,"μακρός (makrós), μακρότης (makrótēs) ""length""","macron, macrocosm, macroinstruction"
magn-,"great, large",Latin,magnus,"magnanimity, magnanimous, magnate, magnificent, magnify, magnitude, magnum"
magnet-,lodestone,Greek,"μάγνης, μάγνητος (mágnēs, mágnētos)","bioelectromagnetism, biomagnetism, diamagnetic, diamagnetism, electromagnet, geomagnetic, magnesium, magnet, magnetic, magnetism, magnetite, magnetize, magnetobiology, magnetologist, magnetometer, magnetosome, manganese, paramagnetic, paramagnetism"
maj-,greater,Latin,"major, majus","majesty, major, majority, majuscule, mayor, semimajor, supermajority"
mal-,"bad, wretched",Latin,malus,"dismal, grand mal, malady, malaise, malediction, malefaction, malevolent, malfeasance, malfunction, malice, malicious, malignancy, malnourished, malodorous, premalignant"
mamm-,breast,Latin,mamma,"mammal, mammary, mammography"
"man-, mant- (ΜΑΝ)",crazy,Greek,"μαίνεσθαι (maínesthai), μανία (manía), μανικός (manikós), μάντις","hypermania, hypomania, kleptomania, mania, maniac, manic, megalomania, monomania, pyromania, pyromaniac"
man-,flow,Latin,"mānāre, mānātus","emanant, emanate, emanation, immanant, immanation"
man- (MAN-),stay,Latin,"manēre, mansus","immanence, immanent, impermanence, impermanent, maisonette, manor, manorial, manse, mansion, ménage, menagerie, menial, meiny, messuage, nonpermanence, nonpermanent, permanence, permanent, quasipermanent, remain, remainder, remanence, remanent, remnant, semipermanent"
"man-, manu-",hand,Latin,manus,"adminicle, amanuensis, Bimana, bimanous, bimanual, emancipate, mainour, maintain, manacle, manage, manageable, management, managerial, mandamus, mandate, manège, maneuver, manicure, manifer, manifest, manifestation, manifesto, maniform, maniple, manipulation, manipulative, maniraptoran, maniraptoriform, manner, mansuetude, manual, manuary, manubrial, manubrium, manuduction, manufacture, manumission, manumit, manuport, manure, manus, manuscript, mortmain, Quadrumana, quadrumanous"
"mand-, -mend-","order, commit",Latin,"mandāre, mandātus","command, commandant, commandment, commend, commendable, commendam, commendation, commendatory, counterdemand, countermand, demand, demandant, encomienda, mandamus, mandatary, mandate, mandator, mandatory, recommend, recommendation, remand, remandment"
mar-,sea,Latin,"mare, maris","maar, mariculture, marina, marinade, marinara, marinate, marination, marine, mariner, maritime, submarine, ultramarine"
mas-,"male, man",Latin,"mās, māris, masculus, masculi","emasculate, emasculation, emasculator, masculate, masculine, masculinity"
"mater-, matr-",mother,Latin,"mater, matris","maternal, maternity, matrimony, matrix, matron"
maxim-,greatest,Latin,maximus,"maxim, maximal, maximum, submaximal"
mechan-,machine or instrument,Greek,"μῆχος, μηχανή (mēkhanḗ), μηχανικός (mēkhanikós)","machine, mechane, mechanics, mechanism, mechanize, mechanobiology, mechanophilia, mechanophobia"
"medi-, -midi-",middle,Latin,"medius, mediare","dimidiation, immediate, intermediary, mean, media, median, mediate, mediation, medieval, mediocre, Mediterranean, medium, moiety, multimedia, postmeridian, submediant"
"meg-, megal-","great, large",Greek,"μέγας, μεγάλου (mégas, megálou)","acromegaly, Megacles, megacycle, megalomania, megalopolis, megaphone"
mei-,less,Greek,"μεῖον (meîon), μείωσις (meíōsis)","ameiosis, ameiotic, meiobenthos, meiosis, meiotic"
melan-,"black, dark",Greek,"μέλας, μέλανος (mélas, mélanos), μελανότης","amelanism, aphaeomelanism, eumelanin, hypermelanic, melancholic, melancholy, Melanesia, melanin, melanism, melanoblastoma, melanocyte, melanoma, melanophobia, melanophore, melanosis, melatonin, neuromelanin, pheomelanin"
melior-,better,Latin,"meliorare ""to improve"", from melior ""better""","ameliorate, amelioration, meliorism"
meliss-,bee,Greek,μέλισσα (mélissa),melissophobia
mell-,honey,Latin,"mel, mellis","melliferous, mellific, mellifluence, mellifluent, mellifluous, melliloquent, mellivorous"
memor-,remember,Latin,memor,"commemorate, immemorial, memoir, memorabilia, memorable, memorandum, memorial, memory, remembrance"
men-,month,Greek,μήν (mḗn),"menopause, menorrhea"
mening-,membrane,Greek,"μήνιγξ, μῆνιγγος (mēninx, mēningos)","leptomeninges, meninges, meningioma, meningitis, meninx"
mend-,"defect, fault",Latin,"mendax ""lying, a liar"", from menda ""defect, fault""","amend, amendment, emend, mendacious, mendacity"
menstru-,monthly,Latin,menstruus,"menstrual, menstruation"
mensur-,measure,Latin,"mensura ""measurement"", from metiri ""to measure""","commensurable, commensurate, dimension, immense, incommensurable, incommensurate, measure"
