Root,Meaning in English,Origin language,Etymology (root origin),English examples
"tac-, -tic-",be silent,Latin,"tacere, tacitus","reticent, reticence, tacit, taciturn"
tach-,swift,Greek,"ταχύς (takhús), τάχος (tákhos)","tachometer, tachycardia, tachyrhythmia, tachytelic"
taeni-,ribbon,Greek,"τείνειν (teínein), ταινία (tainía), ταινίδιον (tainídion)","diplotene, leptotene, pachytene, taenia, taenidia, taenidium, taeniodont, Taeniolabis, zygotene"
"tag-, tax- (ΤΑΓ)","arrange, order",Greek,"τάσσειν (tássein), τακτός (taktós), τακτικός (taktikós), τάξις (táxis), τάγμα (tágma)","ataxia, chemotaxis, epitaxis, eutaxy, hypotaxis, magnetotaxis, metasyntactic, parataxis, phonotactic, phonotactics, phototaxis, rheotaxis, syntactic, syntagma, syntagmatic, syntax, tactic, tagma, taxis, taxonomy, thermotaxis"
tal-,ankle,Latin,talus,talus
"tang-, -ting-, tact-, tag-",touch,Latin,tangere (past participle tactus),"attain, contact, contagious, contingent, contingency, contiguous, intact, tactile, tangent, tangible"
tapet-,carpet,Latin,"tapete, tapetis","tapestry, tapetum, tapis"
tarac- (ΤΑΡΑΧ),stir,Greek,"ταράσσειν (tarássein), ταρακτός, ταρακτικός, τάραγμα, θράσσω","ataractic, ataraxia"
tard-,slow,Latin,tardus,"retard, tardigrade, tardy"
tars-,ankle,Greek,"ταρσός (tarsós, ""a flat basket"")","metatarsus, tarsal, tarsoclasis, tarsometatarsus, tarsus"
taur-,bull,Greek,ταῦρος (taûros),"Minotaur, taurobolium, taurocholic, tauromachy"
taur-,bull,Latin,taurus,Taurus
tec- (ΤΑΚ),melt,Greek,τήκειν,"eutectic, eutectoid"
"tec-, toc- (ΤΕΚ)",childbirth,Greek,"τίκτειν, τόκος (tókos)","ditokous, dystocia, embiotocid, monotocous, teknonymous, teknonymy, tokophobia"
techn- (ΤΕΚ),"art, skill",Greek,"τίκτειν (tíktein), τέχνη (tékhnē), τέκτων, τέκτονος (téktōn, téktonos), τεκτονικός (tektonikós)","architect, polytechnic, techne, technique, technocracy, technocrat, technogaianism, technology, technophilia, technophobia, tectonic"
tecn- (ΤΕΚ),child,Greek,"τίκτω, τέκνον, τέκνου (téknon, téknou)","teknonymous, teknonymy"
