Root,Meaning in English,Origin language,Etymology (root origin),English examples
"lab-, lep-","grasp, seize, take",Greek,"λαμβάνειν (lambánein), λῆψις (lêpsis), λῆμμα (lêmma)","analemma, analemmatic, analeptic, catalepsy, cataleptic, dilemma, dilemmatic, epilepsy, epileptic, hypnolepsy, hysteroepilepsy, metalepsis, narcolepsy, nympholepsy, octosyllabic, procatalepsis, prolepsis, proleptic, proslepsis, syllabic, syllabism, syllable, syllabogram, syllepsis, trisyllabic, trisyllable"
"lab-, laps-","slide, slip",Latin,"labi, lapsus","collapse, collapsible, elapse, labile, lapse, prolapse, relapse"
labi-,lip,Latin,"labia, labiae","bilabial, bilabiate, infralabial, labial, labiate, labium, sublabial, supralabial"
labor-,work,Latin,labor,"collaborate, collaboration, collaborative, collaborator, elaborate, elaboration, elaborative, elaborator, labor, laboratory, laborious"
lacer-,tear,Latin,lacer,laceration
lacrim-,"cry, tears",Latin,lacrima,"lachrymal, lachrymose, lachrymosity, lacrimal, lacrimation, lacrimator, lacrimatory, lacrimous"
lact-,milk,Latin,"lac, lactis, lactare","ablactate, ablactation, lactary, lactase, lactate, lactation, lactational, lacteal, lacteous, lactescent, lactic, lactose, laitance, latte"
lag-,hare,Greek,λαγός (lagós),"lagomorph, Sylvilagus"
lamin-,"layer, slice",Latin,lāmina,"bilamellate, bilaminar, lame, lamé, lamella, lamellar, lamellate, laminate, lamination, laminose, laminous, multilaminar, omelet, omelette, trilaminar, unilaminar"
lamp-,"shine, torch",Greek,"λάμπειν (lámpein), λαμπάς (lampás)","lamp, lamprid, Lampris"
lapid-,stone,Latin,"lapis, lapidis","dilapidate, dilapidation, lapidarian, lapidary, lapidate, lapidation, lapidator, lapideous, lapidescence, lapidescent, lapidicolous, lapidification, lapillation, lapilli"
larg-,large,Latin,largus,"allargando, enlarge, enlargement, largamente, largando, large, largess, largesse, largition, largo"
larv-,"ghost, mask",Latin,larva,"larva, larvae, larval"
